OrgNo;FirmaNavn;Status;AntallAnsatte;OrganisasjonsformKode;Naeringskode
913779509;Bodø Windsurfing;Aktiv;;FLI;93.120
986662391;Brendebakken Verk AS;Aktiv;;AS;82.990
998536324;TELTPROFFEN AS;Aktiv;10;AS;77.210
922633452;Aider system;Aktiv;1036;AS;69.201
914778824;MM Prosjekt AS;Aktiv;;AS;41.200
989130846;Tid og Penger AS;Aktiv;6;AS;69.201
996025349;Johnsen bygg og utleie;Aktiv;;ENK;41.200
912315282;Fremmersvik AS;Aktiv;;AS;90.020
919807784;Narvik Bygg AS;Aktiv;47;AS;41.200
920565395;Aspia Nord  AS;Slettet;;AS;
912270440;Indira AS;Aktiv;51;AS;71.121
893934162;Salten Sportsflyklubb;Aktiv;;FLI;93.120
914624649;Eiendom Nord AS;Aktiv;;AS;68.209
914087309;Rogaland Sjø AS;Aktiv;;AS;77.340
986859861;Askvig AS;Aktiv;;AS;03.211
991507299;Askvig Eiendom AS;Aktiv;;AS;68.209
989215442;Rovi AS;Aktiv;;AS;71.129
944663002;Finnøy Fisk AS;Aktiv;;AS;03.211
988397725;Fisterkaien AS;Aktiv;;AS;68.320
989675982;Randøy Feriepark AS;Aktiv;;AS;55.300
981979583;Fister Smolt AS;Aktiv;19;AS;03.222
883692012;BO BYGG AS;Aktiv;;AS;41.200
992534176;Kvit Vinter AS;Aktiv;;AS;68.209
992094893;Fjordglytt AS;Aktiv;;AS;68.209
999330061;FATLAND KRAFT AS;Aktiv;;AS;36.000
916802048;Sigv Tomstad AS;Aktiv;;AS;68.209
886995482;Vighedlå AS;Aktiv;;AS;41.109
985188076;Eventus Sandvika ANS;Aktiv;;ANS;69.201
813083272;Konkurs Tom Larsen Transport AS;Slettet;;AS;
997660153;Dama Di AS;Aktiv;18;AS;56.301
962296726;Tm Invest AS;Aktiv;;AS;68.209
995285207;Elvegård Fjordcamp, Tony Griff Pettersen;Aktiv;;ENK;55.300
860671492;Arntsen Maskinstasjon AS;Aktiv;;AS;43.120
931016091;Ingolf Thune AS;Aktiv;67;AS;49.410
983976883;Narvik Svømmeklubb;Aktiv;;FLI;93.120
981883179;Krafftwork Erik N. H. Krafft;Aktiv;;ENK;90.012
930455393;Snekkermester Viggo Remman AS;Aktiv;10;AS;41.200
984101953;John Jakobsen Transport AS;Aktiv;10;AS;49.410
886972512;Småbergan AS;Aktiv;;AS;68.209
975506932;Boligsameiet Bergensveien 4;Aktiv;;ESEK;97.000
882574512;Kol Transport AS;Aktiv;10;AS;49.410
989077279;Wolden Maskin AS;Aktiv;14;AS;43.120
998421071;Origo Management AS;Aktiv;;AS;77.110
986436510;Amark Eiendom AS;Aktiv;;AS;68.209
890591272;Skarvenesveien 6 AS;Aktiv;;AS;68.209
989810731;GH Maskin & Marineservice AS;Aktiv;;AS;22.290
913871979;Fagerhaug Maskin AS;Aktiv;25;AS;43.120
988336106;Kb Management AS;Aktiv;;AS;62.020
984127448;Økonomi og Regnskapspartner AS;Aktiv;;AS;69.201
857043022;Millejordnes AS;Aktiv;;AS;56.301
995737698;Lynne Publishing AS;Aktiv;;AS;59.200
914473152;Grunn og Betong Entreprenør AS;Aktiv;;AS;43.990
899312252;Green Adventure AS;Aktiv;;AS;46.370
986006869;Forlaget 67N Rolf Liland;Aktiv;;ENK;58.190
998628083;Direkte Regnskap AS;Aktiv;;AS;69.201
995864304;Jke Narvik AS;Aktiv;;AS;47.599
912828719;Moment Bolig AS;Slettet;;AS;
966313404;EKSTERN REGNSKAP AS;Aktiv;8;AS;69.201
924400676;Espen Eriksen Transport;Aktiv;;ENK;49.320
964532753;Lindahl Eiendommer AS;Aktiv;;AS;68.209
996250881;Harder AS;Aktiv;5;AS;71.121
929199596;Harder Eiendom AS;Aktiv;5;AS;68.209
914917573;Opplyst;Aktiv;;FLI;85.609
898316572;Resultat AS;Aktiv;;AS;69.201
996043452;KLUBBHOLMEN 6C AS;Aktiv;;AS;68.209
992401079;HS Kobber og Blikkenslager AS;Aktiv;;AS;43.911
914315204;Lindahl Bolig I AS;Aktiv;;AS;68.100
993614882;ØkoRåd NordSalten AS;Aktiv;7;AS;69.201
914315263;Lindahl Bolig II AS;Aktiv;;AS;68.209
911810271;FOTOGRAF KAROLINE O.A.PETTERSEN AS;Aktiv;;AS;74.200
995928647;Helnessund Brygger AS;Aktiv;40;AS;55.202
916498136;WKN AS;Aktiv;;AS;69.202
815143272;STIAN STEFFENSEN AS;Aktiv;;AS;74.901
912107574;Hardwoods AS;Aktiv;;AS;71.121
992864281;Aurora Design & Media AS;Aktiv;;AS;74.102
848072222;Maestro - Testklient;Aktiv;39;AS;58.290
976470265;Freding Transport AS;Aktiv;;AS;43.120
989158953;Birgers Oljeselskap AS;Aktiv;;AS;93.291
992093382;Odd Lundberg AS;Aktiv;15;AS;03.111
992508949;Østerdalen Golfbane AS;Aktiv;;AS;93.110
911698420;by north as;Aktiv;7;AS;74.102
912899586;Emonkey AS;Aktiv;;AS;62.020
980386465;Warmup Produksjon;Aktiv;92;AS;58.290
913663837;Vaxa Property AS;Aktiv;17;AS;68.320
811573582;By1bil AS;Aktiv;;AS;45.320
913172817;Forsikring Helgeland AS;Aktiv;;AS;66.220
813322072;Waag Produksjoner AS;Konkurs;;AS;59.110
914092051;Arctic Media Expo AS;Aktiv;;AS;73.110
915294626;Supertune AS;Aktiv;;AS;47.522
915248039;Heiditt AS;Aktiv;;AS;70.220
913018486;Amundsen Rør AS;Aktiv;;AS;43.221
912282554;Fell Technology AS;Aktiv;34;AS;71.129
915104495;KBI Financial Management AS;Aktiv;;AS;70.220
915338259;Senzu Frisør AS;Aktiv;;AS;96.020
986551999;SHS Eiendom AS;Aktiv;;AS;68.209
915131794;Oslo Bygg- og Håndverkservice v/ Jess Møller;Aktiv;;ENK;41.200
932713985;Sparebank 1 Regnskapshuset Nord-Norge AS Avd Leknes;Feil;;;
982384079;Sparebank 1 Regnskapshuset Nord-Norge AS Avd Svolvær;Feil;;;
397436403;Mobile Demo Client;Feil;;;
987902736;Boligservice Narvik AS;Aktiv;;AS;41.200
988591637;A Markussen Holding AS;Aktiv;;AS;68.209
976096215;Jarnes Møbler AS;Aktiv;5;AS;31.090
912784037;Øyjord Ridehall AS;Aktiv;;AS;68.209
986516689;Equie Consulting Sissel Bjørklund;Aktiv;9;ENK;02.200
915018238;ZooExpressen AS;Aktiv;13;AS;47.762
915125948;Modell Hobby AS;Slettet;;AS;
914948142;Sparebank 1 Regnskapshuset Nord-Norge AS Avd Administrasjon;Slettet;;AS;
923435271;MoHo AS;Aktiv;;AS;68.209
914735084;Spektor Advokat AS;Aktiv;;AS;69.100
912326497;North Wine & Spirits AS;Aktiv;;AS;46.341
980866351;AIDER ACCOUNTING AS AVD BERGEN(F);Feil;;;
915555594;EA Bygg & Betong AS GAMMEL VERSJON;UnderAvvikling;;AS;43.990
958027028;Jaklamyra Barnehage SA;Aktiv;18;SA;88.911
970235760;Beisfjord Vannverk SA;Aktiv;;SA;36.000
970890696;Viktor Berg Transport AS;Aktiv;8;AS;49.410
988413356;Foldvik Bryggeferie AS;Aktiv;;AS;55.202
993168262;Stigma Salg og Tjenester AS;Aktiv;;AS;46.694
915662757;Trafikkskola Start AS;Aktiv;;AS;85.530
913752058;Din Gartner-Kawa AS;Aktiv;8;AS;81.300
912185001;Mee AS;Aktiv;;AS;62.020
914150132;Emptum AS;Aktiv;;AS;70.220
936066798;Lunt Hus AS;Aktiv;;AS;68.209
987520507;Sisomar AS;Aktiv;22;AS;03.222
994235729;SDG TBWA AS;Aktiv;13;AS;70.210
980386465;Maestro Demo;Aktiv;92;AS;58.290
995748711;Serversky AS;Slettet;;AS;
981894197;NEON Tattoo Studio AS;Aktiv;;AS;68.209
976221079;Hanne E Lynne;Aktiv;;ENK;01.620
989557580;Am Bygg AS;Aktiv;5;AS;41.200
948155184;Nord Norsk Spedisjon AS;Aktiv;;AS;52.291
915664466;Bio Drift AS;Aktiv;;AS;71.129
915717888;Clarify AS;Aktiv;;AS;62.010
947857169;Tandem AS;Aktiv;30;AS;69.201
967708933;JEK Regnskap AS;Aktiv;9;AS;69.201
925808571;Halsteinslid AS;Aktiv;6;AS;69.201
913981960;Brødrene Stormo AS;Aktiv;;AS;41.200
862655222;Statsautorisert revisor Jens Arne Hagen;Aktiv;;ENK;69.202
996160394;Åfjord Utvikling AS;Aktiv;;AS;41.109
995992345;Fryd Frisør AS;Aktiv;;AS;96.020
919732873;Kursjentene AS;Aktiv;;AS;85.599
815822102;Tellus Trading AS;Aktiv;;AS;73.110
985394717;Anleggsservice AS;Aktiv;13;AS;43.120
940426987;Unge Kunstneres Samfund;Aktiv;27;FLI;94.991
994056689;Ever Trondheim AS;Aktiv;13;AS;69.201
986442715;Sørby Gartneri AS;Aktiv;27;AS;01.130
943785805;Vest-Telemark Rekneskapsservice AS;Aktiv;9;AS;69.201
981241150;Odal Økonomi AS;Aktiv;38;AS;69.201
969239612;Mamen Hans Torer (Dødsbo);Slettet;;ENK;
980906965;Echas Revisjon AS;Aktiv;10;AS;69.202
987628065;Premio AS;Aktiv;;AS;69.201
976431189;Saltenposten AS;Aktiv;9;AS;58.130
891324472;Rømby AS;Slettet;;AS;
952617443;Enimente AS;Aktiv;6;AS;69.201
971435216;Ny Musikk;Aktiv;5;FLI;90.020
995967758;Det Andre Teatret AS;Aktiv;23;AS;90.040
988791369;Taran AS;Aktiv;6;AS;90.020
911648733;Bedre Økonomitjenester AS;Aktiv;11;AS;69.201
957771823;Nico Håndverk Malermester Sten Yttervik AS;Aktiv;11;AS;43.341
816073502;iProsess AS;Aktiv;;AS;70.220
997291212;Jrp Distribusjon AS;Aktiv;;AS;49.410
890419062;Møretrapp AS;Aktiv;;AS;43.320
916573065;GTM AS;Aktiv;47;AS;62.030
960896998;Lyngheia barnehage AS;Aktiv;30;AS;88.911
974379511;DIBkunnskap AS;Aktiv;45;AS;58.290
959264848;Skarsem Arild;Aktiv;;ENK;43.120
989996223;Byggmester Liljebakk AS;Aktiv;33;AS;41.200
980651169;Royal Optikk Narvik Storsenter;Aktiv;5;AS;47.782
994298275;Askeladden barnehage Sa;Aktiv;16;SA;88.911
915289452;Pumpa AS;Aktiv;;AS;47.300
916122160;Åfjordskroa Dijam AS;Aktiv;8;AS;56.101
995221608;Nettlønn AS - integrasjonstest;Aktiv;7;AS;62.010
926067303;Norgesregnskap - Viken Økonomi AS;Aktiv;9;AS;69.201
916056281;DiNord Eiendom AS;Slettet;;AS;
995377969;Alven Dame og Herrefrisør AS;Aktiv;5;AS;96.020
912428532;Astafjord Industrier AS;Aktiv;;AS;68.209
974645130;Futurum AS;Aktiv;5;AS;82.990
999057888;Hålogaland Brønn- og Energiboring AS;Konkurs;;AS;42.210
990040907;Merk-Kjeden AS;Aktiv;;AS;73.110
912403602;Møre Rør AS;Aktiv;6;AS;43.221
971482435;Malmklumpen barnehage SA;Aktiv;15;SA;88.911
916027699;Kp Service Nord AS;Aktiv;;AS;81.101
912548686;Malermester Vinterstad AS;Aktiv;;AS;43.341
987416874;Narvik Kapital AS;Aktiv;;AS;64.306
997869273;Solbes AS;Aktiv;;AS;71.200
977097347;NORDSALTEN AVIS AS;Aktiv;14;AS;58.130
912185613;Sivertsen Trebygg AS;Aktiv;;AS;41.200
916158432;N Bygg AS;Aktiv;;AS;43.320
990310513;Arctic Spill Control AS;Aktiv;;AS;39.000
966376724;Ascas Miljø AS;Aktiv;5;AS;39.000
916047622;JAA Eiendom AS;Aktiv;;AS;68.209
945988924;iTide Økonomi AS(F);Slettet;;AS;
971048891;Strandgata Eiendom AS;Aktiv;;AS;68.209
915107656;Askvik Aqua AS;Aktiv;;AS;03.213
914397111;Verified AS;Aktiv;13;AS;62.010
916185405;Signe Greivstad AS;Aktiv;;AS;86.904
961517575;Nivo AS;Aktiv;;AS;69.201
914856051;Bergsprengeren AS;Aktiv;;AS;43.120
984404662;Oslo Politis Pensjonistforening;Aktiv;;FLI;94.991
988561835;Altieik AS;Aktiv;;AS;31.090
912797589;Din Byggpartner AS;Aktiv;;AS;41.200
811903922;Economica AS;Aktiv;;AS;70.220
816235502;INDUSTRISTÅL AS;Aktiv;;AS;46.720
916215215;Småloppene AS;Aktiv;10;AS;47.792
929408039;Catwalk AS;Aktiv;12;AS;47.710
929794729;Folki AS;Aktiv;;AS;88.994
932925982;Udelt AS;Aktiv;7;AS;62.020
979775571;Ramberg  Byggevarer AS;Aktiv;9;AS;47.522
912872122;Fyresdal Næringshage AS;Aktiv;;AS;70.220
917855056;Sigvart Asle Lie;Aktiv;;ENK;68.209
976861213;Hurd Økonomi & Regnskap AS;Aktiv;10;AS;69.201
971155450;Probus AS;Aktiv;6;AS;69.201
916094051;Bjørns Bil AS;Aktiv;;AS;45.112
951869880;Fram Kino;Aktiv;18;AS;59.140
990078424;Arena Drift AS;Aktiv;;AS;93.110
981470850;Narvik Rideskole Skjomen AS;Aktiv;5;AS;93.190
915991262;Vestfold Truckservice AS;Aktiv;12;AS;33.120
979924720;Network Broking AS;Aktiv;;AS;46.180
929551265;STS-Surface Treatment Systems AS;Aktiv;;AS;46.750
916283776;AppLetify AS;Aktiv;;AS;47.990
987770384;Aktivapluss AS;Aktiv;7;AS;69.201
999150985;Lyn Regnskap AS;Aktiv;;AS;68.100
989957422;Din Regnskapsfører AS;Aktiv;;AS;69.201
982848547;Nesttun Blomster AS;Aktiv;8;AS;47.761
993253375;N.K.S. Kløveråsen AS;Aktiv;44;AS;86.104
987447702;Økoråd Hadsel AS;Aktiv;13;AS;69.201
939611908;Admit AS;Aktiv;;AS;70.220
979713894;Jansson & Larsen Regnskap AS;Aktiv;22;AS;69.201
997626079;Degree -Test API;Aktiv;12;AS;62.020
000000000;Ikke i bruk;Feil;;;
980386465;Maestro Integrasjon;Aktiv;92;AS;58.290
915498892;Ulvsvåg Eiendom AS;Aktiv;;AS;68.209
915703534;Tøyen Sportsklubb;Aktiv;82;FLI;93.120
916346220;Undo AS;Aktiv;5;AS;86.909
981563794;Narvik Hestesportsenter Skjomen AS;Aktiv;;AS;93.110
989410164;Strandgata 30 Eiendom Sortland AS;Aktiv;;AS;68.209
992890002;Ide Møbler Bodø AS;Slettet;;AS;
995682621;Mariela Frisør AS;Aktiv;5;AS;96.020
994251104;Stylist-X AS;Aktiv;;AS;96.020
977558093;Graf a.s;Aktiv;;AS;74.102
916078161;Cfo Regnskap AS;Aktiv;;AS;69.201
988784710;Den4dogs AS;Aktiv;;AS;32.990
973199730;Novatek AS;Aktiv;7;AS;71.122
990078408;Arena Bygg AS;Aktiv;;AS;41.200
915329969;Seasmart AS;Aktiv;;AS;71.129
926091980;Solum Bokvennen AS;Aktiv;17;AS;58.110
968921746;Bokvennen Forlag AS;Aktiv;;AS;58.110
964115176;Vidarforlaget AS;Aktiv;;AS;58.110
941139876;Transit AS;Aktiv;;AS;58.110
983041809;Økoråd Leknes;Aktiv;7;AS;69.201
997066782;Varanger Regnskap AS under avvikling;Slettet;;AS;
935490650;Yrkeslitteratur AS;Aktiv;;AS;58.110
980584380;Gaidaros Forlag AS;Aktiv;;AS;58.190
931454382;Gratangen Mekaniske Industri AS;Aktiv;18;AS;28.920
919679573;Trafikkjentene AS;Aktiv;73;AS;52.219
970509518;Runa Welle Gravferd, Dekoratør og Tjenester;Aktiv;;ENK;96.030
997604296;Degree Holding Group AS;Aktiv;;AS;68.209
893823972;Filemail AS;Aktiv;;AS;63.120
988259977;Økoråd Øksnes AS;Aktiv;9;AS;69.201
912079007;Fn Eigedom AS;Aktiv;;AS;68.209
979473141;APTO AS;Aktiv;16;AS;62.020
939532595;Grefsen AS;Aktiv;9;AS;68.209
971259582;Bærum Næringsråd;Aktiv;;FLI;94.110
893509992;Vesterålen Varmepumper AS;Aktiv;;AS;43.222
953686295;Høydepunkt Arrangementsservice AS;Aktiv;11;AS;79.903
971402423;SKÅNLAND STALL OG RIDEKLUBB;Aktiv;;FLI;01.620
995256673;Nordlandsmat AS;Aktiv;;AS;46.390
915467970;Fosenterminalen Bessaker AS;Aktiv;;AS;52.211
992797576;Bærum Regnskap AS;Aktiv;5;AS;69.201
988939757;Nordic Naturals AS;Aktiv;;AS;46.330
921091087;Ballstadøy AS;Slettet;;AS;
965630201;Hjørnekiosken Eiendommer AS;Aktiv;;AS;68.209
996768910;Melbu Folkebad SA;Aktiv;11;SA;93.110
916242360;Dp Øya Eiendom AS;Aktiv;;AS;88.996
980562484;Sonja Blomster AS;Aktiv;10;AS;47.761
916276273;Parken Blomster AS;Aktiv;;AS;47.761
993624268;Balloonburger AS;Aktiv;8;AS;56.101
962077447;Nitschke & Borgting Økonomibyrå AS(F);Slettet;;AS;
971437286;Stiftelsen Kunstnernes Hus;Aktiv;44;STI;90.011
916481063;Something From Nothing;Aktiv;;ENK;59.200
995257610;Maurtua Private Barnehage AS;Aktiv;11;AS;88.911
911873095;Nilsen Revisjon;Aktiv;;ENK;69.202
989289292;Hemek AS;Aktiv;;AS;71.129
989158953;Kulta Invest AS;Aktiv;;AS;93.291
984353693;Transport Service Nordland As;Slettet;;AS;
998835909;Kringla AS;Aktiv;39;AS;10.710
997844475;Eidcon Økonomi AS;Aktiv;;AS;69.201
938683913;ADB-Senteret A/S;Aktiv;14;AS;69.201
989194380;Pekama AS;Aktiv;;AS;70.220
969078082;Motus AS;Aktiv;;AS;62.010
970321160;Byggmester Svenn Liljebakk;Aktiv;;ENK;41.200
831087692;EconPartner AS;Aktiv;43;AS;69.201
998053013;Egil Byggtjeneste AS;Aktiv;9;AS;41.200
997278356;Blichfeldt Tangen Fjeld Målgruppeinnsikt AS;Aktiv;;AS;70.220
983821057;Oddbjørn Ullestad;Aktiv;;ENK;43.120
994679708;Frap Eiendom AS;Slettet;;AS;
946063940;Grant Thornton Økonomiservice AS;Aktiv;26;AS;69.201
951499072;Kallesten Revisjon og Regnskap AS;Aktiv;23;AS;69.202
954680541;JM Bilsalg Nybråten;Aktiv;;ENK;45.112
996251837;Frajo AS;Aktiv;;AS;68.209
912206599;V1 Invest AS;Aktiv;;AS;68.209
988067687;Fiskehallen Drift AS;Aktiv;16;AS;47.230
914549760;Nerdrums Opmaaling AS;Aktiv;12;AS;71.123
982396778;Envision IT AS;Aktiv;;AS;62.020
971577061;BOSSMO & YTTEREN IL;Aktiv;;FLI;93.120
970306161;IL Stålkameratene;Aktiv;;FLI;93.120
814531082;Avant;Aktiv;;FLI;94.991
969809834;Øyvind Helge Førre;Aktiv;;ENK;01.410
989021214;Nåden Invest AS;Aktiv;;AS;47.642
965630767;Steffensen Maskin & Transport;Aktiv;5;AS;43.120
994617834;Stiftelsen Narviksenteret;Aktiv;25;STI;91.022
948195003;Stiftelsen Nybo;Aktiv;6;STI;68.209
991091025;Lystpå AS;Aktiv;33;AS;56.210
913251563;Bioselect Norge AS;Slettet;;AS;
995605406;Salt Lofoten AS;Aktiv;26;AS;72.110
990390886;Isos Eiendom AS;Aktiv;;AS;68.209
913459253;Rs1 Bygg AS;Aktiv;11;AS;41.200
998320399;Starworks AS;Aktiv;;AS;74.903
912899586;TEST DB;Aktiv;;AS;62.020
983200532;Clarify Holding AS;Aktiv;;AS;70.220
991941495;Norwegian Adventure Company AS;Aktiv;6;AS;93.291
983592945;Kontor Renhold AS;Aktiv;5;AS;81.210
920533248;Konkylien AS;Aktiv;;AS;73.110
991921494;Steigen Vertshus As;Aktiv;19;AS;55.101
968651242;Atlanterprodukter AS;Aktiv;12;AS;43.919
999114954;Incube AS;Aktiv;;AS;70.220
957701752;Ofoten Takst AS;Aktiv;;AS;71.121
985448663;Ditt Tiltak AS;Aktiv;;AS;88.991
924993464;Fosen Trafikkskole AS;Aktiv;6;AS;85.530
984036949;Lofothavn AS;Aktiv;;AS;68.209
880589652;Narviking AS;Aktiv;;AS;52.219
980397378;Harstad og Omland Bilberging AS;Aktiv;;AS;52.219
897380552;Optituning AS;Aktiv;6;AS;45.200
895435392;Kato Anlegg AS;UnderAvvikling;;AS;43.120
988350362;Capient AS - gammel klient;Aktiv;19;AS;70.220
913537521;AS Claus Riis Gate 6;Aktiv;;AS;68.320
914949181;Peritus Invest AS;Aktiv;;AS;68.100
960580168;FREEFORM;Aktiv;;ENK;74.102
967866032;Brødrene Jacobsen Aut Rørleggerbedrift AS;Slettet;;AS;
997626079;Degree AS;Aktiv;12;AS;62.020
984573308;Blåst AS;Aktiv;15;AS;23.130
913158881;Studio Vestnes AS;Aktiv;;AS;90.033
998190940;Rosnes Produksjon AS;Aktiv;15;AS;01.190
998304954;Rosnes Gårdsdrift AS;Aktiv;42;AS;01.130
952636014;AS Scenario Interiørarkitekter MNIL;Aktiv;12;AS;74.103
975419495;Gratangen Idrettslag;Aktiv;;FLI;93.120
986665773;518 Steinerbarnehagen Rotnissen;Aktiv;32;STI;88.911
996760006;Hildonens Transportservice AS;Aktiv;23;AS;49.410
989081438;Holtet Bygg & Taksering AS;Slettet;;AS;
987918012;Årbogen Transport AS;Aktiv;29;AS;49.410
911955598;Tota AS;Aktiv;;AS;77.310
925947210;Accountor Hamar AS;Aktiv;28;AS;69.201
995826178;Norske Naturfotografer;Aktiv;;FLI;94.991
930083305;VB Sykkylven Rør AS;Slettet;;AS;
993734977;Promal AS;Aktiv;7;AS;43.341
914084466;Mouchiouse Music AS;Aktiv;;AS;90.011
990230099;Borettslaget Multebærholmen;Aktiv;;BRL;68.201
